Pruning Completed
-----------------------------------------------
[STAGE 3] Finetune for 25 epochs after Pruning
-----------------------------------------------
Ultralytics 8.3.176  Python-3.10.11 torch-2.7.1+cu118 CUDA:0 (NVIDIA GeForce RTX 3060, 12288MiB)
[34m[1mengine\trainer: [0magnostic_nms=False, amp=True, augment=False, auto_augment=randaugment, batch=16, bgr=0.0, box=7.5, cache=False, cfg=None, classes=None, close_mosaic=10, cls=0.5, conf=None, copy_paste=0.0, copy_paste_mode=flip, cos_lr=False, cutmix=0.0, data=C:/Users/PC/Desktop/Project/Torch-Pruning/examples/yolov11n/27073186/TXL-PBC/TXL-PBC/data.yaml, degrees=0.0, deterministic=True, device=None, dfl=1.5, dnn=False, dropout=0.0, dynamic=False, embed=None, epochs=25, erasing=0.4, exist_ok=True, fliplr=0.5, flipud=0.0, format=torchscript, fraction=1.0, freeze=None, half=False, hsv_h=0.015, hsv_s=0.7, hsv_v=0.4, imgsz=640, int8=False, iou=0.7, keras=False, kobj=1.0, line_width=None, lr0=0.001, lrf=0.01, mask_ratio=4, max_det=300, mixup=0.0, mode=train, model=yolo11n.pt, momentum=0.937, mosaic=1.0, multi_scale=False, name=pruned_b16_40.0%_after_finetune, nbs=64, nms=False, opset=None, optimize=False, optimizer=auto, overlap_mask=True, patience=100, perspective=0.0, plots=True, pose=12.0, pretrained=True, profile=False, project=C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs, rect=False, resume=False, retina_masks=False, save=True, save_conf=False, save_crop=False, save_dir=C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs\pruned_b16_40.0%_after_finetune, save_frames=False, save_json=False, save_period=-1, save_txt=False, scale=0.5, seed=0, shear=0.0, show=False, show_boxes=True, show_conf=True, show_labels=True, simplify=True, single_cls=False, source=None, split=val, stream_buffer=False, task=detect, time=None, tracker=botsort.yaml, translate=0.1, val=True, verbose=True, vid_stride=1, visualize=False, warmup_bias_lr=0.1, warmup_epochs=3.0, warmup_momentum=0.8, weight_decay=0.0005, workers=8, workspace=None
Freezing layer 'model.23.dfl.conv.weight'
[34m[1mAMP: [0mrunning Automatic Mixed Precision (AMP) checks...
[34m[1mAMP: [0mchecks passed 
[34m[1mtrain: [0mFast image access  (ping: 0.00.0 ms, read: 458.1329.7 MB/s, size: 29.0 KB)

[34m[1mtrain: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\train.cache... 882 images, 0 backgrounds, 0 corrupt: 100%|##########| 882/882 [00:00<?, ?it/s]
[34m[1mtrain: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\train.cache... 882 images, 0 backgrounds, 0 corrupt: 100%|##########| 882/882 [00:00<?, ?it/s]
[34m[1mtrain: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\train\92129d1652e75c3892beb376df57d274.png: 1 duplicate labels removed
[34m[1mtrain: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\train\a8581e04ac765bd3ad658cf8e530a6ea.png: 1 duplicate labels removed
[34m[1mtrain: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\train\c255521a08b75da09373db44e7f099c5.png: 17 duplicate labels removed
[34m[1mval: [0mFast image access  (ping: 0.00.0 ms, read: 410.7217.2 MB/s, size: 37.5 KB)

[34m[1mval: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\val.cache... 252 images, 0 backgrounds, 0 corrupt: 100%|##########| 252/252 [00:00<?, ?it/s]
[34m[1mval: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\val.cache... 252 images, 0 backgrounds, 0 corrupt: 100%|##########| 252/252 [00:00<?, ?it/s]
[34m[1mval: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\val\0ac132c270355979b686c0801e558849.png: 15 duplicate labels removed
Plotting labels to C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs\pruned_b16_40.0%_after_finetune\labels.jpg... 
[34m[1moptimizer:[0m 'optimizer=auto' found, ignoring 'lr0=0.001' and 'momentum=0.937' and determining best 'optimizer', 'lr0' and 'momentum' automatically... 
[34m[1moptimizer:[0m AdamW(lr=0.001429, momentum=0.9) with parameter groups 89 weight(decay=0.0), 96 weight(decay=0.0005), 95 bias(decay=0.0)
Image sizes 640 train, 640 val
Using 8 dataloader workers
Logging results to [1mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs\pruned_b16_40.0%_after_finetune[0m
Starting training for 25 epochs...

      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size

  0%|          | 0/56 [00:00<?, ?it/s]
       1/25       2.2G      1.605      2.053      1.527        309        640:   0%|          | 0/56 [00:00<?, ?it/s]
       1/25       2.2G      1.605      2.053      1.527        309        640:   2%|1         | 1/56 [00:00<00:34,  1.60it/s]
       1/25       2.2G      1.536      1.943      1.497        283        640:   2%|1         | 1/56 [00:00<00:34,  1.60it/s]
       1/25       2.2G      1.536      1.943      1.497        283        640:   4%|3         | 2/56 [00:00<00:19,  2.78it/s]
       1/25       2.2G       1.54      1.969      1.501        268        640:   4%|3         | 2/56 [00:00<00:19,  2.78it/s]
       1/25       2.2G       1.54      1.969      1.501        268        640:   5%|5         | 3/56 [00:00<00:14,  3.75it/s]
       1/25       2.2G      1.568      2.035      1.512        439        640:   5%|5         | 3/56 [00:01<00:14,  3.75it/s]
       1/25       2.2G      1.568      2.035      1.512        439        640:   7%|7         | 4/56 [00:01<00:11,  4.40it/s]
       1/25       2.2G      1.585      2.034      1.525        327        640:   7%|7         | 4/56 [00:01<00:11,  4.40it/s]
       1/25       2.2G      1.585      2.034      1.525        327        640:   9%|8         | 5/56 [00:01<00:09,  5.12it/s]
       1/25       2.2G      1.593      2.008      1.536        277        640:   9%|8         | 5/56 [00:01<00:09,  5.12it/s]
       1/25       2.2G      1.593      2.008      1.536        277        640:  11%|#         | 6/56 [00:01<00:09,  5.38it/s]
       1/25       2.2G      1.592          2      1.547        303        640:  11%|#         | 6/56 [00:01<00:09,  5.38it/s]
       1/25       2.2G      1.592          2      1.547        303        640:  12%|#2        | 7/56 [00:01<00:08,  5.84it/s]
       1/25       2.2G      1.587      1.984       1.54        276        640:  12%|#2        | 7/56 [00:01<00:08,  5.84it/s]
       1/25       2.2G      1.587      1.984       1.54        276        640:  14%|#4        | 8/56 [00:01<00:07,  6.17it/s]
       1/25       2.2G      1.582      1.991      1.534        391        640:  14%|#4        | 8/56 [00:01<00:07,  6.17it/s]
       1/25       2.2G      1.582      1.991      1.534        391        640:  16%|#6        | 9/56 [00:01<00:07,  6.48it/s]
       1/25       2.2G       1.57      1.974      1.526        340        640:  16%|#6        | 9/56 [00:01<00:07,  6.48it/s]
       1/25       2.2G       1.57      1.974      1.526        340        640:  18%|#7        | 10/56 [00:01<00:06,  6.65it/s]
       1/25       2.2G      1.567      1.974      1.521        448        640:  18%|#7        | 10/56 [00:02<00:06,  6.65it/s]
       1/25       2.2G      1.567      1.974      1.521        448        640:  20%|#9        | 11/56 [00:02<00:06,  6.72it/s]
       1/25       2.2G      1.555      1.948      1.514        348        640:  20%|#9        | 11/56 [00:02<00:06,  6.72it/s]
       1/25       2.2G      1.555      1.948      1.514        348        640:  21%|##1       | 12/56 [00:02<00:06,  6.83it/s]
       1/25       2.2G      1.545      1.939      1.505        438        640:  21%|##1       | 12/56 [00:02<00:06,  6.83it/s]
       1/25       2.2G      1.545      1.939      1.505        438        640:  23%|##3       | 13/56 [00:02<00:06,  6.87it/s]
       1/25       2.2G      1.525      1.913      1.492        348        640:  23%|##3       | 13/56 [00:02<00:06,  6.87it/s]
       1/25       2.2G      1.525      1.913      1.492        348        640:  25%|##5       | 14/56 [00:02<00:06,  6.97it/s]
       1/25       2.2G      1.515      1.887      1.485        390        640:  25%|##5       | 14/56 [00:02<00:06,  6.97it/s]
       1/25       2.2G      1.515      1.887      1.485        390        640:  27%|##6       | 15/56 [00:02<00:05,  6.96it/s]
       1/25       2.2G      1.496      1.858       1.48        243        640:  27%|##6       | 15/56 [00:02<00:05,  6.96it/s]
       1/25       2.2G      1.496      1.858       1.48        243        640:  29%|##8       | 16/56 [00:02<00:05,  7.04it/s]
       1/25       2.2G      1.482      1.828      1.475        312        640:  29%|##8       | 16/56 [00:02<00:05,  7.04it/s]
       1/25       2.2G      1.482      1.828      1.475        312        640:  30%|###       | 17/56 [00:02<00:05,  7.14it/s]
       1/25       2.2G      1.473      1.801       1.47        313        640:  30%|###       | 17/56 [00:03<00:05,  7.14it/s]
       1/25       2.2G      1.473      1.801       1.47        313        640:  32%|###2      | 18/56 [00:03<00:05,  7.11it/s]
       1/25       2.2G      1.457      1.772      1.461        289        640:  32%|###2      | 18/56 [00:03<00:05,  7.11it/s]
       1/25       2.2G      1.457      1.772      1.461        289        640:  34%|###3      | 19/56 [00:03<00:05,  7.04it/s]
       1/25       2.2G      1.449      1.746      1.456        341        640:  34%|###3      | 19/56 [00:03<00:05,  7.04it/s]
       1/25       2.2G      1.449      1.746      1.456        341        640:  36%|###5      | 20/56 [00:03<00:05,  7.06it/s]
       1/25       2.2G      1.438      1.727      1.447        428        640:  36%|###5      | 20/56 [00:03<00:05,  7.06it/s]
       1/25       2.2G      1.438      1.727      1.447        428        640:  38%|###7      | 21/56 [00:03<00:05,  6.99it/s]
       1/25       2.2G      1.421      1.702      1.436        355        640:  38%|###7      | 21/56 [00:03<00:05,  6.99it/s]
       1/25       2.2G      1.421      1.702      1.436        355        640:  39%|###9      | 22/56 [00:03<00:04,  7.09it/s]
       1/25       2.2G      1.411      1.685      1.428        415        640:  39%|###9      | 22/56 [00:03<00:04,  7.09it/s]
       1/25       2.2G      1.411      1.685      1.428        415        640:  41%|####1     | 23/56 [00:03<00:04,  6.99it/s]
       1/25      2.31G      1.393      1.664      1.417        424        640:  41%|####1     | 23/56 [00:03<00:04,  6.99it/s]
       1/25      2.31G      1.393      1.664      1.417        424        640:  43%|####2     | 24/56 [00:03<00:04,  7.02it/s]
       1/25      2.31G      1.378      1.636      1.408        297        640:  43%|####2     | 24/56 [00:04<00:04,  7.02it/s]
       1/25      2.31G      1.378      1.636      1.408        297        640:  45%|####4     | 25/56 [00:04<00:04,  7.00it/s]
       1/25      2.31G      1.362      1.615      1.398        416        640:  45%|####4     | 25/56 [00:04<00:04,  7.00it/s]
       1/25      2.31G      1.362      1.615      1.398        416        640:  46%|####6     | 26/56 [00:04<00:04,  6.94it/s]
       1/25      2.31G      1.343      1.591      1.388        367        640:  46%|####6     | 26/56 [00:04<00:04,  6.94it/s]
       1/25      2.31G      1.343      1.591      1.388        367        640:  48%|####8     | 27/56 [00:04<00:04,  6.98it/s]
       1/25      2.31G      1.333       1.57      1.381        396        640:  48%|####8     | 27/56 [00:04<00:04,  6.98it/s]
       1/25      2.31G      1.333       1.57      1.381        396        640:  50%|#####     | 28/56 [00:04<00:04,  6.93it/s]
       1/25      2.31G      1.322      1.549      1.375        373        640:  50%|#####     | 28/56 [00:04<00:04,  6.93it/s]
       1/25      2.31G      1.322      1.549      1.375        373        640:  52%|#####1    | 29/56 [00:04<00:03,  7.46it/s]
       1/25      2.31G       1.31      1.528      1.368        357        640:  52%|#####1    | 29/56 [00:04<00:03,  7.46it/s]
       1/25      2.31G       1.31      1.528      1.368        357        640:  54%|#####3    | 30/56 [00:04<00:03,  7.13it/s]
       1/25      2.31G      1.296       1.51      1.361        363        640:  54%|#####3    | 30/56 [00:04<00:03,  7.13it/s]
       1/25      2.31G      1.296       1.51      1.361        363        640:  55%|#####5    | 31/56 [00:04<00:03,  7.35it/s]
       1/25      2.31G      1.284       1.49      1.354        346        640:  55%|#####5    | 31/56 [00:05<00:03,  7.35it/s]
       1/25      2.31G      1.284       1.49      1.354        346        640:  57%|#####7    | 32/56 [00:05<00:03,  7.26it/s]
       1/25      2.31G      1.274      1.472      1.347        385        640:  57%|#####7    | 32/56 [00:05<00:03,  7.26it/s]
       1/25      2.31G      1.274      1.472      1.347        385        640:  59%|#####8    | 33/56 [00:05<00:02,  7.69it/s]
       1/25      2.31G      1.265      1.457      1.342        337        640:  59%|#####8    | 33/56 [00:05<00:02,  7.69it/s]
       1/25      2.31G      1.265      1.457      1.342        337        640:  61%|######    | 34/56 [00:05<00:03,  7.32it/s]
       1/25      2.31G      1.253      1.439      1.336        284        640:  61%|######    | 34/56 [00:05<00:03,  7.32it/s]
       1/25      2.31G      1.253      1.439      1.336        284        640:  62%|######2   | 35/56 [00:05<00:02,  7.76it/s]
       1/25      2.31G      1.245      1.424      1.331        348        640:  62%|######2   | 35/56 [00:05<00:02,  7.76it/s]
       1/25      2.31G      1.245      1.424      1.331        348        640:  64%|######4   | 36/56 [00:05<00:02,  7.55it/s]
       1/25      2.31G      1.236      1.411      1.326        310        640:  64%|######4   | 36/56 [00:05<00:02,  7.55it/s]
       1/25      2.31G      1.236      1.411      1.326        310        640:  66%|######6   | 37/56 [00:05<00:02,  7.66it/s]
       1/25      2.31G      1.226      1.395       1.32        333        640:  66%|######6   | 37/56 [00:05<00:02,  7.66it/s]
       1/25      2.31G      1.226      1.395       1.32        333        640:  68%|######7   | 38/56 [00:05<00:02,  7.53it/s]
       1/25      2.31G      1.218       1.38      1.316        351        640:  68%|######7   | 38/56 [00:06<00:02,  7.53it/s]
       1/25      2.31G      1.218       1.38      1.316        351        640:  70%|######9   | 39/56 [00:06<00:02,  7.43it/s]
       1/25      2.31G      1.208      1.367       1.31        418        640:  70%|######9   | 39/56 [00:06<00:02,  7.43it/s]
       1/25      2.31G      1.208      1.367       1.31        418        640:  71%|#######1  | 40/56 [00:06<00:02,  7.54it/s]
       1/25      2.31G      1.198      1.352      1.305        315        640:  71%|#######1  | 40/56 [00:06<00:02,  7.54it/s]
       1/25      2.31G      1.198      1.352      1.305        315        640:  73%|#######3  | 41/56 [00:06<00:01,  7.65it/s]
       1/25      2.31G       1.19      1.337      1.301        314        640:  73%|#######3  | 41/56 [00:06<00:01,  7.65it/s]
       1/25      2.31G       1.19      1.337      1.301        314        640:  75%|#######5  | 42/56 [00:06<00:01,  7.22it/s]
       1/25      2.31G      1.181      1.324      1.296        349        640:  75%|#######5  | 42/56 [00:06<00:01,  7.22it/s]
       1/25      2.31G      1.181      1.324      1.296        349        640:  77%|#######6  | 43/56 [00:06<00:01,  7.68it/s]
       1/25      2.31G      1.176      1.314      1.293        445        640:  77%|#######6  | 43/56 [00:06<00:01,  7.68it/s]
       1/25      2.31G      1.176      1.314      1.293        445        640:  79%|#######8  | 44/56 [00:06<00:01,  7.48it/s]
       1/25      2.31G      1.171      1.301       1.29        357        640:  79%|#######8  | 44/56 [00:06<00:01,  7.48it/s]
       1/25      2.31G      1.171      1.301       1.29        357        640:  80%|########  | 45/56 [00:06<00:01,  7.60it/s]
       1/25      2.31G      1.166      1.292      1.287        401        640:  80%|########  | 45/56 [00:06<00:01,  7.60it/s]
       1/25      2.31G      1.166      1.292      1.287        401        640:  82%|########2 | 46/56 [00:06<00:01,  7.42it/s]
       1/25      2.31G       1.16      1.282      1.283        451        640:  82%|########2 | 46/56 [00:07<00:01,  7.42it/s]
       1/25      2.31G       1.16      1.282      1.283        451        640:  84%|########3 | 47/56 [00:07<00:01,  7.57it/s]
       1/25      2.31G      1.153      1.271      1.279        396        640:  84%|########3 | 47/56 [00:07<00:01,  7.57it/s]
       1/25      2.31G      1.153      1.271      1.279        396        640:  86%|########5 | 48/56 [00:07<00:01,  7.41it/s]
       1/25      2.31G      1.147      1.259      1.277        272        640:  86%|########5 | 48/56 [00:07<00:01,  7.41it/s]
       1/25      2.31G      1.147      1.259      1.277        272        640:  88%|########7 | 49/56 [00:07<00:00,  7.74it/s]
       1/25      2.31G      1.141       1.25      1.273        434        640:  88%|########7 | 49/56 [00:07<00:00,  7.74it/s]
       1/25      2.31G      1.141       1.25      1.273        434        640:  89%|########9 | 50/56 [00:07<00:00,  7.52it/s]
       1/25      2.31G      1.133      1.239      1.268        332        640:  89%|########9 | 50/56 [00:07<00:00,  7.52it/s]
       1/25      2.31G      1.133      1.239      1.268        332        640:  91%|#########1| 51/56 [00:07<00:00,  7.64it/s]
       1/25      2.31G      1.126      1.229      1.265        402        640:  91%|#########1| 51/56 [00:07<00:00,  7.64it/s]
       1/25      2.31G      1.126      1.229      1.265        402        640:  93%|#########2| 52/56 [00:07<00:00,  7.45it/s]
       1/25      2.31G      1.121      1.219      1.263        324        640:  93%|#########2| 52/56 [00:07<00:00,  7.45it/s]
       1/25      2.31G      1.121      1.219      1.263        324        640:  95%|#########4| 53/56 [00:07<00:00,  7.64it/s]
       1/25      2.31G      1.115      1.209      1.259        343        640:  95%|#########4| 53/56 [00:07<00:00,  7.64it/s]
       1/25      2.31G      1.115      1.209      1.259        343        640:  96%|#########6| 54/56 [00:07<00:00,  7.45it/s]
       1/25      2.31G      1.109      1.198      1.256        343        640:  96%|#########6| 54/56 [00:08<00:00,  7.45it/s]
       1/25      2.31G      1.109      1.198      1.256        343        640:  98%|#########8| 55/56 [00:08<00:00,  7.58it/s]
       1/25      2.31G      1.104       1.19      1.254         51        640:  98%|#########8| 55/56 [00:08<00:00,  7.58it/s]
       1/25      2.31G      1.104       1.19      1.254         51        640: 100%|##########| 56/56 [00:08<00:00,  6.84it/s]
       1/25      2.31G      1.104       1.19      1.254         51        640: 100%|##########| 56/56 [00:08<00:00,  6.74it/s]

                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):   0%|          | 0/8 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  12%|#2        | 1/8 [00:00<00:00,  8.10it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  25%|##5       | 2/8 [00:00<00:00,  7.45it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  38%|###7      | 3/8 [00:00<00:00,  7.67it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  50%|#####     | 4/8 [00:00<00:00,  7.33it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  62%|######2   | 5/8 [00:00<00:00,  7.69it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  75%|#######5  | 6/8 [00:00<00:00,  7.47it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  88%|########7 | 7/8 [00:00<00:00,  7.60it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|##########| 8/8 [00:01<00:00,  7.80it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|##########| 8/8 [00:01<00:00,  7.66it/s]
                   all        252       3737      0.958       0.44      0.589      0.402

      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size

  0%|          | 0/56 [00:00<?, ?it/s]
       2/25      2.43G     0.7026     0.5787       1.05        302        640:   0%|          | 0/56 [00:00<?, ?it/s]
       2/25      2.43G     0.7026     0.5787       1.05        302        640:   2%|1         | 1/56 [00:00<00:07,  7.62it/s]
       2/25      2.43G      0.761     0.6204      1.084        393        640:   2%|1         | 1/56 [00:00<00:07,  7.62it/s]
       2/25      2.43G      0.761     0.6204      1.084        393        640:   4%|3         | 2/56 [00:00<00:07,  7.27it/s]
       2/25      2.43G     0.7991     0.6346      1.094        332        640:   4%|3         | 2/56 [00:00<00:07,  7.27it/s]
       2/25      2.43G     0.7991     0.6346      1.094        332        640:   5%|5         | 3/56 [00:00<00:06,  7.98it/s]
       2/25      2.43G     0.8007      0.641      1.086        389        640:   5%|5         | 3/56 [00:00<00:06,  7.98it/s]
       2/25      2.43G     0.8007      0.641      1.086        389        640:   7%|7         | 4/56 [00:00<00:06,  7.57it/s]
       2/25      2.43G      0.817     0.6535      1.089        410        640:   7%|7         | 4/56 [00:00<00:06,  7.57it/s]
       2/25      2.43G      0.817     0.6535      1.089        410        640:   9%|8         | 5/56 [00:00<00:06,  7.47it/s]
       2/25      2.43G     0.8083     0.6501      1.082        344        640:   9%|8         | 5/56 [00:00<00:06,  7.47it/s]
       2/25      2.43G     0.8083     0.6501      1.082        344        640:  11%|#         | 6/56 [00:00<00:06,  7.32it/s]
       2/25      2.43G      0.806     0.6471      1.082        362        640:  11%|#         | 6/56 [00:00<00:06,  7.32it/s]
       2/25      2.43G      0.806     0.6471      1.082        362        640:  12%|#2        | 7/56 [00:00<00:06,  7.50it/s]
       2/25      2.43G     0.8022     0.6476      1.076        408        640:  12%|#2        | 7/56 [00:01<00:06,  7.50it/s]
       2/25      2.43G     0.8022     0.6476      1.076        408        640:  14%|#4        | 8/56 [00:01<00:06,  7.35it/s]
       2/25      2.43G     0.7991     0.6487      1.078        304        640:  14%|#4        | 8/56 [00:01<00:06,  7.35it/s]
       2/25      2.43G     0.7991     0.6487      1.078        304        640:  16%|#6        | 9/56 [00:01<00:06,  7.51it/s]
       2/25      2.43G     0.8069     0.6495      1.083        345        640:  16%|#6        | 9/56 [00:01<00:06,  7.51it/s]
       2/25      2.43G     0.8069     0.6495      1.083        345        640:  18%|#7        | 10/56 [00:01<00:06,  7.43it/s]
       2/25      2.43G     0.8023     0.6446      1.082        304        640:  18%|#7        | 10/56 [00:01<00:06,  7.43it/s]
       2/25      2.43G     0.8023     0.6446      1.082        304        640:  20%|#9        | 11/56 [00:01<00:05,  7.85it/s]
       2/25      2.43G     0.8029     0.6446      1.083        319        640:  20%|#9        | 11/56 [00:01<00:05,  7.85it/s]
       2/25      2.43G     0.8029     0.6446      1.083        319        640:  21%|##1       | 12/56 [00:01<00:05,  7.42it/s]
       2/25      2.43G     0.8082     0.6488      1.084        472        640:  21%|##1       | 12/56 [00:01<00:05,  7.42it/s]
       2/25      2.43G     0.8082     0.6488      1.084        472        640:  23%|##3       | 13/56 [00:01<00:05,  7.58it/s]
       2/25      2.43G     0.8025     0.6479       1.08        435        640:  23%|##3       | 13/56 [00:01<00:05,  7.58it/s]
       2/25      2.43G     0.8025     0.6479       1.08        435        640:  25%|##5       | 14/56 [00:01<00:05,  7.41it/s]
       2/25      2.43G     0.8035     0.6462      1.083        301        640:  25%|##5       | 14/56 [00:01<00:05,  7.41it/s]
       2/25      2.43G     0.8035     0.6462      1.083        301        640:  27%|##6       | 15/56 [00:01<00:05,  7.84it/s]
       2/25      2.43G     0.7987     0.6406      1.082        321        640:  27%|##6       | 15/56 [00:02<00:05,  7.84it/s]
       2/25      2.43G     0.7987     0.6406      1.082        321        640:  29%|##8       | 16/56 [00:02<00:05,  7.57it/s]
       2/25      2.43G     0.7976     0.6381      1.081        410        640:  29%|##8       | 16/56 [00:02<00:05,  7.57it/s]
       2/25      2.43G     0.7976     0.6381      1.081        410        640:  30%|###       | 17/56 [00:02<00:05,  7.48it/s]
       2/25      2.43G     0.7952     0.6365      1.082        288        640:  30%|###       | 17/56 [00:02<00:05,  7.48it/s]
       2/25      2.43G     0.7952     0.6365      1.082        288        640:  32%|###2      | 18/56 [00:02<00:05,  7.34it/s]
       2/25      2.43G      0.789     0.6336       1.08        292        640:  32%|###2      | 18/56 [00:02<00:05,  7.34it/s]
       2/25      2.43G      0.789     0.6336       1.08        292        640:  34%|###3      | 19/56 [00:02<00:04,  7.80it/s]
       2/25      2.43G     0.7875     0.6315      1.077        407        640:  34%|###3      | 19/56 [00:02<00:04,  7.80it/s]
       2/25      2.43G     0.7875     0.6315      1.077        407        640:  36%|###5      | 20/56 [00:02<00:05,  7.16it/s]
       2/25      2.43G      0.785     0.6285      1.076        376        640:  36%|###5      | 20/56 [00:02<00:05,  7.16it/s]
       2/25      2.43G      0.785     0.6285      1.076        376        640:  38%|###7      | 21/56 [00:02<00:04,  7.55it/s]
